source,target
244-0606,46-1330
244-0606,89-9935
h-RichardHull,74-6086
h-RichardHull,76-6735
h-RichardHull,n-FrankNeven
h-RichardHull,s-DanSuciu
h-RichardHull,61-3251
h-RichardHull,74-3195
h-RichardHull,43-1219-1
h-RichardHull,56-7016
h-RichardHull,t-ValTannen
h-RichardHull,g-SGhandeharizadeh
h-RichardHull,d-AlinDeutsch
h-RichardHull,c-VassilisChristophides
h-RichardHull,s-JuliaStoyanovich
h-RichardHull,m-TovaMilo
h-RichardHull,14-4251
h-RichardHull,52-4954-1
39-3711-1,j-BjornTorJonsson1
83-8692,w-JRWen
83-8692,x-HuiXiong
83-8692,08-6809-1
36-9810,25-7045-11
96-780-1,25-7045-11
150-6500,25-7045-11
63-216-2,25-7045-11
60-539,25-7045-11
72-6280,25-7045-11
34-2036,25-7045-11
94-1299,25-7045-11
10-3621,25-7045-11
10-3621,l-NinghuiLi
179-9135,25-7045-11
75-8541,25-7045-11
64-6487,25-7045-11
64-6487,59-2081
69-2422,97-9726
52-3472,25-7045-11
52-3472,39-3530-1
52-3472,89-9935
119-2063,p-JianPei
119-2063,25-7045-11
119-2063,61-3251
119-2063,39-3530-1
119-2063,89-9935
295-8305,46-1330
30-383,25-7045-11
30-383,39-3530-1
30-383,y-XifengYan
30-383,89-9935
55-2789,b-ElisaBertino
55-2789,25-7045-11
55-2789,x-HuiXiong
55-2789,l-NinghuiLi
55-2789,39-3530-1
55-2789,00-9080
55-2789,89-9935
70-5125,25-7045-11
70-5125,39-3530-1
70-5125,89-9935
06-2128,50-3402-1
06-2128,77-1985
06-2128,69-339-1
54-2309,181-2689-1
54-2309,a-TAmagasa
146-0112,25-7045-11
146-0112,f-JCFreytag
146-0112,s-AnnaCinziaSquicciarini
146-0112,m-SharadMehrotra
146-0112,28-949-1
97-3993,a-TAmagasa
52-5050,a-TAmagasa
01-758,a-TAmagasa
146-8392,38-4395
204-3749,38-4395
243-3290,19-3011
243-3290,57-4384-1
243-3290,25-7045-11
209-5740,25-7045-11
209-5740,l-QiongLuo
79-6531-1,25-7045-11
79-6531-1,l-QiongLuo
243-0195,s-CyrusShahabi
243-0195,25-7045-11
243-0195,39-3530-1
243-0195,08-6809-1
243-0195,172-5536
243-0215,25-7045-11
243-0215,w-KeWang
243-0215,172-5536
87-2491,k-MasaruKitsuregawa
06-5636,25-7045-11
23-3439-10,25-7045-11
85-5862-1,25-7045-11
85-5862-1,a-TAmagasa
259-7221,25-7045-11
200-8247,25-7045-11
96-3621,a-TAmagasa
59-4675,z-AoyingZhou
59-4675,h-SvenHartmann
211-1646,25-7045-11
42-8437,25-7045-11
199-6905,25-7045-11
06-406,25-7045-11
57-8437,25-7045-11
17-5132,25-7045-11
18-6855,25-7045-11
18-6855,70-9686
18-6855,141-4440
324-3130,25-7045-11
324-3130,46-1330
33-79,25-7045-11
33-79,46-1330
33-79,01-3589
72-2452,38-4395
72-2452,46-1330
72-2452,204-3779
228-8357,25-7045-11
228-8357,39-3530-1
215-8103,25-7045-11
241-5574,25-7045-11
a-GailJoonAhn,b-ElisaBertino
a-GailJoonAhn,f-ElenaFerrari
a-GailJoonAhn,36-195
a-GailJoonAhn,l-NinghuiLi
a-GailJoonAhn,80-6521
a-GailJoonAhn,s-AnnaCinziaSquicciarini
a-GailJoonAhn,25-2228
a-GailJoonAhn,c-ShiminChen
61-1821,a-TAmagasa
181-5821,34-5936
181-5821,s-CyrusShahabi
181-5821,25-7045-11
181-5821,w-RaymondChiWingWong
181-5821,80-6521
181-5821,39-3530-1
206-7248,s-CyrusShahabi
206-7248,25-7045-11
206-7248,39-3530-1
03-7576,s-CyrusShahabi
03-7576,25-7045-11
03-7576,39-3530-1
95-2980,t-KianLeeTan
95-2980,f-EdwardAFox
95-2980,a-TAmagasa
263-2013,25-7045-11
b-DBarbosa,s-ASdaSilva
b-DBarbosa,y-JXuYu
b-DBarbosa,o-VivianeMoreiraOrengo
b-DBarbosa,w-GerhardWeikum
b-DBarbosa,m-WagnerMeiraJr
b-DBarbosa,76-6735
b-DBarbosa,m-RJMiller
b-DBarbosa,b-ABonifati
b-DBarbosa,v-VVassalos
b-DBarbosa,w-HaixunWang
b-DBarbosa,m-IoanaManolescu
b-DBarbosa,b-MichaelHBohlen
b-DBarbosa,f-JulianaFreire
b-DBarbosa,r-DRafiei
b-DBarbosa,05-10127
b-DBarbosa,m-PaoloMerialdo
b-DBarbosa,58-3771
b-DBarbosa,68-1297
b-DBarbosa,a-PAtzeni
b-DBarbosa,76-3961
b-PBohannon,g-FlorisGeerts
b-PBohannon,v-VVassalos
b-PBohannon,d-XinLunaDong
b-PBohannon,m-IoanaManolescu
b-PBohannon,r-MayaRamanath
b-PBohannon,33-3180
b-PBohannon,f-JulianaFreire
b-PBohannon,14-3692
b-PBohannon,n-JeffreyFNaughton
b-PBohannon,k-HenryFKorth
b-PBohannon,d-AnHaiDoan
b-PBohannon,s-SSudarshan1
b-PBohannon,07-1560
b-PBohannon,58-3771
k-CarlChristianKanne,g-JohannesGehrke
k-CarlChristianKanne,g-MinosNGarofalakis
k-CarlChristianKanne,a-KarlAberer
k-CarlChristianKanne,s-DiveshSrivastava
k-CarlChristianKanne,k-ChristophKoch
k-CarlChristianKanne,v-VVassalos
k-CarlChristianKanne,c-CheeYongChan
k-CarlChristianKanne,m-IoanaManolescu
k-CarlChristianKanne,b-MichaelHBohlen
k-CarlChristianKanne,f-JulianaFreire
k-CarlChristianKanne,h-SvenHelmer
k-CarlChristianKanne,o-FatmaOzcan
k-CarlChristianKanne,09-3012
k-CarlChristianKanne,89-6071
k-CarlChristianKanne,49-6395
k-CarlChristianKanne,82-1740
p-KriengkraiPorkaew,m-SharadMehrotra
75-3108,72-1077
75-3108,31-4030
75-3108,l-InsupLee
75-3108,126-1063
75-3108,62-306
75-3108,120-6982
75-3108,65-8854
75-3108,16-8505
75-3108,p-JPadhye
75-3108,151-3220
75-3108,17-3782
75-3108,204-9451
75-3108,162-9041
75-3108,165-8545
75-3108,72-3034
75-3108,64-4732
75-3108,204-9434
75-3108,168-2335-1
75-3108,92-1043
75-3108,57-3752
75-3108,82-3920
75-3108,65-4423-19
75-3108,89-161-1
75-3108,43-6008
75-3108,68-6443
75-3108,64-4201
75-3108,m-YunMao
75-3108,72-5784
75-3108,31-5615
75-3108,58-10955
75-3108,k-JosephBKopena
75-3108,28-3802
75-3108,50-10842
75-3108,59-10957
75-3108,29-4271
75-3108,14-3250
75-3108,117-4257
75-3108,117-4337
75-3108,t-CarolynLTalcott
75-3108,39-3354
75-3108,139-4270
75-3108,19-5147
75-3108,71-10037
75-3108,48-879
75-3108,05-6499
75-3108,80-3338
75-3108,53-6806
75-3108,07-7968
75-3108,86-5425
75-3108,261-2045
75-3108,205-2916
75-3108,26-7042
75-3108,10-709
75-3108,52-1078
75-3108,124-3682
75-3108,56-1428
75-3108,118-5486-1
75-3108,42-7395
75-3108,39-2060
75-3108,88-4130
75-3108,54-3512
75-3108,53-11109
75-3108,12-6659
75-3108,164-6240
75-3108,29-563
75-3108,133-3844
75-3108,a-RAlur
75-3108,137-0874
75-3108,80-8660
75-3108,28-6329
75-3108,02-2726
75-3108,117-4311
75-3108,23-3226
75-3108,57-10638
75-3108,79-7377
75-3108,184-9777
75-3108,184-9539
75-3108,43-7988
75-3108,02-10264
75-3108,33-6005
75-3108,142-2630
75-3108,g-ToddJGreen
75-3108,40-3056
75-3108,231-1785
75-3108,04-4087
75-3108,175-2219
75-3108,28-1014
75-3108,36-5674
75-3108,158-6303-1
75-3108,325-4539
75-3108,54-208
75-3108,43-9664
75-3108,49-10954
75-3108,73-3197
75-3108,155-8106
75-3108,15-745
75-3108,279-5563
75-3108,279-5463
75-3108,70-2619
75-3108,117-4241
75-3108,190-1322
75-3108,199-6327
75-3108,199-6291
75-3108,133-9882
75-3108,99-9975
75-3108,37-4190-25
75-3108,89-1149
75-3108,94-1554
75-3108,118-7473
75-3108,118-7475
75-3108,118-7461
75-3108,22-4375
75-3108,48-1013
75-3108,50-3402
75-3108,337-2991
75-3108,145-2967
75-3108,160-5445
75-3108,237-6014
75-3108,291-3723
75-3108,291-4306
75-3108,d-ADeHon
75-3108,227-9099
75-3108,189-5822
75-3108,241-2645
75-3108,308-3521
75-3108,170-0026
75-3108,243-3014
75-3108,34-3644
75-3108,55-4167
75-3108,151-4057
75-3108,224-0744
75-3108,224-0746
75-3108,08-2365
75-3108,26-4889
75-3108,27-6261
75-3108,74-9241
75-3108,08-10856
75-3108,08-2686
75-3108,53-3231
75-3108,r-WCRegli
75-3108,05-4612-1
75-3108,228-1212
75-3108,42-10070
75-3108,76-9726
75-3108,07-9727
75-3108,92-9401
75-3108,79-572-1
75-3108,73-3350
75-3108,162-1996
75-3108,162-2065
75-3108,87-2421
75-3108,84-6214
75-3108,322-1389
75-3108,237-8928
75-3108,40-4551
75-3108,132-8480
75-3108,243-2450
75-3108,243-2342
75-3108,169-1729
75-3108,208-0007
75-3108,51-6471-1
75-3108,44-9990
75-3108,193-2626
75-3108,182-7320
75-3108,d-SBDavidson
75-3108,69-986
75-3108,124-3429
75-3108,204-3440
75-3108,153-9599
75-3108,274-2006
75-3108,274-2280
75-3108,40-2992
75-3108,117-4273
75-3108,18-2255
75-3108,117-4330
75-3108,92-7133
75-3108,334-4655
75-3108,227-3113
75-3108,284-0680
75-3108,28-10322
75-3108,b-MartinBravenboer
75-3108,63-4646
75-3108,09-1115
75-3108,76-747
75-3108,g-SudiptoGuha
75-3108,232-1744
75-3108,232-1803
75-3108,232-2104
75-3108,232-1659
75-3108,03-10548
75-3108,92-6794
75-3108,83-6331
75-3108,f-MaryFFernandez
75-3108,m-JEvanderMerwe
75-3108,s-AssafSchuster
75-3108,141-3659
75-3108,141-3272
75-3108,355-0487
75-3108,355-0582
75-3108,371-5967
75-3108,334-9051
75-3108,334-9077
75-3108,334-9020
75-3108,262-7157
75-3108,a-MartinAbadi
75-3108,64-411
75-3108,131-7162
75-3108,125-8023
75-3108,75-3570
75-3108,170-3621
75-3108,144-7733
72-1077,i-ZacharyGIves
72-1077,s-DanSuciu
72-1077,d-AmolDeshpande
72-1077,l-FeifeiLi
72-1077,j-HVJagadish
72-1077,01-3589
72-1077,y-JunYang1
72-1077,80-2320
72-1077,183-8663
72-1077,85-1868-11
31-4030,i-ZacharyGIves
31-4030,t-ValTannen
l-InsupLee,79-1490
l-InsupLee,i-ZacharyGIves
l-InsupLee,t-NesimeTatbul
l-InsupLee,175-1473
126-1063,36-2133
126-1063,47-8816
p-JPadhye,78-5231
p-JPadhye,59-7992
p-JPadhye,c-CarloCurino
151-3220,46-3522
151-3220,26-5170
17-3782,i-ZacharyGIves
17-3782,36-2133
17-3782,h-AlonYHalevy
17-3782,68-1297
72-3034,45-4887
72-3034,81-10470
64-4732,51-1742
64-4732,38-4395
204-9434,61-3234
92-1043,79-1490
57-3752,i-ZacharyGIves
89-161-1,53-7986
43-6008,29-3483
43-6008,07-668-2
43-6008,l-FeifeiLi
43-6008,58-1327
43-6008,01-7213
43-6008,07-11533
68-6443,85-1868
68-6443,l-FeifeiLi
68-6443,51-5793
68-6443,34-6522-1
68-6443,85-1868-11
m-YunMao,i-ZacharyGIves
m-YunMao,l-FeifeiLi
31-5615,19-2546
31-5615,s-AmbujKSingh
29-4271,66-6919
t-CarolynLTalcott,m-SharadMehrotra
39-3354,t-ValTannen
19-5147,p-JianPei
19-5147,y-JXuYu
19-5147,50-3402-1
19-5147,i-ZacharyGIves
19-5147,w-RaymondChiWingWong
19-5147,l-LinXuemin
19-5147,51-1742
19-5147,49-10034
48-879,25-4106
80-3338,i-ZacharyGIves
53-6806,i-ZacharyGIves
86-5425,77-4620
86-5425,137-8445
261-2045,a-DivyakantAgrawal
261-2045,a-AmrElAbbadi
261-2045,56-7016
261-2045,175-1473
261-2045,183-8663
205-2916,175-1473
205-2916,183-8663
52-1078,a-DivyakantAgrawal
52-1078,a-AmrElAbbadi
52-1078,52-9457
56-1428,85-1868
56-1428,58-10813
118-5486-1,o-MTamerOzsu
118-5486-1,81-9436-1
118-5486-1,b-PhilipABernstein
118-5486-1,06-4171
118-5486-1,67-1328-10
118-5486-1,183-8663
42-7395,p-JianPei
42-7395,o-MTamerOzsu
42-7395,d-XinLunaDong
42-7395,81-9436-1
42-7395,64-146
42-7395,33-6315-1
42-7395,s-JuliaStoyanovich
42-7395,06-4171
42-7395,37-548
42-7395,58-10813
42-7395,200-8321
39-2060,81-9436-1
39-2060,06-4171
39-2060,58-10813
88-4130,k-AlfonsKemper
88-4130,s-AmbujKSingh
29-563,t-KianLeeTan
29-563,49-6363
29-563,67-6383-1
29-563,o-BengChinOoi
29-563,86-1747
29-563,j-ChristianSJensen
29-563,l-ChenLi1
29-563,30-1186
29-563,08-5342
29-563,124-6911
29-563,146-6971
29-563,18-4087-1
133-3844,w-YangWang15
133-3844,183-8663
a-RAlur,i-ZacharyGIves
a-RAlur,76-6735
a-RAlur,t-ValTannen
137-0874,03-6105
28-6329,m-AnimeshMukherjee
117-4311,51-1742
142-2630,b-PhilipABernstein
142-2630,147-1195
g-ToddJGreen,i-ZacharyGIves
g-ToddJGreen,s-DanSuciu
g-ToddJGreen,74-3195
g-ToddJGreen,t-ValTannen
g-ToddJGreen,l-BertramLudascher
g-ToddJGreen,b-PhilipABernstein
g-ToddJGreen,58-1327
g-ToddJGreen,131-4377
g-ToddJGreen,p-IppokratisPandis
04-4087,83-5342-6
04-4087,86-1747
04-4087,61-5238
04-4087,146-6971
04-4087,121-4289
04-4087,173-4598
36-5674,r-ChristopherRe
36-5674,74-3195
36-5674,n-HungQNgo
158-6303-1,183-8663
325-4539,183-8663
54-208,50-3402-1
54-208,45-4887
54-208,131-4202
54-208,40-3179
54-208,172-0874
73-3197,181-2689-1
73-3197,12-2633-6
73-3197,i-ZacharyGIves
73-3197,x-HuiXiong
73-3197,64-3041
73-3197,c-KCCChang
73-3197,f-HFerhatosmanoglu
73-3197,33-2952
279-5563,183-8663
133-9882,i-ZacharyGIves
99-9975,i-ZacharyGIves
37-4190-25,i-ZacharyGIves
37-4190-25,t-ValTannen
89-1149,i-ZacharyGIves
48-1013,r-KARoss
50-3402,p-JianPei
50-3402,14-716
50-3402,12-2633-6
50-3402,07-668-2
50-3402,97-919-1
50-3402,61-3234
50-3402,51-1742
50-3402,42-4903
50-3402,67-4834-4
50-3402,77-4933
50-3402,124-6911
50-3402,35-7092-30
337-2991,183-8663
53-3231,i-ZacharyGIves
53-3231,t-ValTannen
42-10070,36-195
76-9726,i-ZacharyGIves
07-9727,i-ZacharyGIves
79-572-1,78-5231
162-1996,156-1280
84-6214,51-1742
84-6214,86-508-2
84-6214,82-9876
132-8480,78-5231
243-2342,r-ChristopherRe
243-2342,85-9079
182-7320,l-FeifeiLi
182-7320,85-1868-11
d-SBDavidson,f-MJFranklin
d-SBDavidson,w-GerhardWeikum
d-SBDavidson,f-EdwardAFox
d-SBDavidson,i-ZacharyGIves
d-SBDavidson,89-2506-2
d-SBDavidson,l-UlfLeser
d-SBDavidson,s-DanSuciu
d-SBDavidson,77-4620
d-SBDavidson,74-3195
d-SBDavidson,88-9060
d-SBDavidson,l-ALabrinidis
d-SBDavidson,t-WangChiewTan
d-SBDavidson,17-5910
d-SBDavidson,f-JulianaFreire
d-SBDavidson,t-ValTannen
d-SBDavidson,l-BertramLudascher
d-SBDavidson,h-BillHowe
d-SBDavidson,77-6778
d-SBDavidson,b-MagdalenaBalazinska
d-SBDavidson,84-2055
d-SBDavidson,26-3914
d-SBDavidson,s-JuliaStoyanovich
d-SBDavidson,m-TovaMilo
d-SBDavidson,s-TimosKSellis
d-SBDavidson,j-HVJagadish
d-SBDavidson,h-AlonYHalevy
d-SBDavidson,98-6876
d-SBDavidson,54-1720
d-SBDavidson,88-6466-1
69-986,i-ZacharyGIves
153-9599,29-5841
40-2992,l-FeifeiLi
40-2992,85-1868-11
227-3113,l-FeifeiLi
227-3113,k-BenKao
227-3113,80-2320
227-3113,183-8663
284-0680,36-2133
284-0680,80-2320
284-0680,183-8663
b-MartinBravenboer,r-ChristopherRe
b-MartinBravenboer,n-HungQNgo
63-4646,i-ZacharyGIves
09-1115,i-ZacharyGIves
09-1115,77-4620
09-1115,60-2319
09-1115,74-3195
09-1115,m-TovaMilo
76-747,i-ZacharyGIves
76-747,74-3195
76-747,t-ValTannen
76-747,b-PhilipABernstein
76-747,s-JuliaStoyanovich
76-747,m-TovaMilo
g-SudiptoGuha,c-GrahamCormode
g-SudiptoGuha,s-DiveshSrivastava
g-SudiptoGuha,i-ZacharyGIves
g-SudiptoGuha,g-DimitriosGunopulos
g-SudiptoGuha,45-47-1
g-SudiptoGuha,k-NickKoudas
g-SudiptoGuha,j-HVJagadish
03-10548,i-ZacharyGIves
92-6794,49-8316
83-6331,03-505
83-6331,84-2644
83-6331,w-JRWen
83-6331,52-8700
83-6331,61-3234
83-6331,30-1186
83-6331,90-514-1
83-6331,08-6809-1
83-6331,73-3928-1
83-6331,80-1651-2
f-MaryFFernandez,s-DiveshSrivastava
f-MaryFFernandez,o-MTamerOzsu
f-MaryFFernandez,s-DanSuciu
f-MaryFFernandez,r-ChristopherRe
f-MaryFFernandez,p-LucianPopa
f-MaryFFernandez,t-WangChiewTan
f-MaryFFernandez,d-AlinDeutsch
f-MaryFFernandez,b-PhilipABernstein
f-MaryFFernandez,k-HenryFKorth
f-MaryFFernandez,h-AlonYHalevy
f-MaryFFernandez,p-YPapakonstantinou
f-MaryFFernandez,07-1560
m-JEvanderMerwe,l-FeifeiLi
s-AssafSchuster,g-MinosNGarofalakis
s-AssafSchuster,s-DiveshSrivastava
s-AssafSchuster,h-AndreasHotho
s-AssafSchuster,48-5154
s-AssafSchuster,w-HaixunWang
s-AssafSchuster,p-NWPaton
s-AssafSchuster,l-ALabrinidis
s-AssafSchuster,d-ADeligiannakis
s-AssafSchuster,17-1242
141-3659,19-3011
141-3659,82-11411
141-3659,c-ShiminChen
355-0487,175-1473
355-0487,183-8663
355-0582,175-1473
355-0582,183-8663
371-5967,175-1473
371-5967,183-8663
64-411,f-HFerhatosmanoglu
131-7162,j-CVJawahar
170-3621,03-6105
34-5936,258-5688
34-5936,26-11511
34-5936,50-10384
34-5936,127-6414
34-5936,a-MHAli
34-5936,117-9090
34-5936,g-MichaelGamon
34-5936,k-CAKnoblock
34-5936,s-MarkusSchneider1
34-5936,k-PeerKroger
34-5936,w-PeterWidmayer
34-5936,s-MonikaSester
34-5936,26-8109
34-5936,140-9572
34-5936,123-7678
34-5936,t-AnkurTeredesai
34-5936,14-4841
34-5936,21-1176
34-5936,06-1054
34-5936,252-8380
34-5936,71-3357
34-5936,82-1781
34-5936,252-8101
34-5936,07-5980
34-5936,v-AlexVarshavsky
34-5936,33-2732
34-5936,59-2063
34-5936,122-9734
34-5936,08-70
34-5936,10-5505
34-5936,h-EricHorvitz
34-5936,134-3063
34-5936,60-11151
34-5936,53-8399
34-5936,92-2348
34-5936,68-7541
34-5936,70-3898
34-5936,b-AJBBrush
34-5936,01-7983
34-5936,p-ShwetakNPatel
34-5936,129-2746
34-5936,02-4024
34-5936,62-3636
34-5936,12-621
34-5936,m-BrianMeyers
34-5936,03-3005
34-5936,49-6197
34-5936,k-HenryAKautz
34-5936,26-3903
34-5936,72-3318
34-5936,10-5981
34-5936,68-5068-3
34-5936,91-3542
34-5936,213-7403
34-5936,10-4827
34-5936,11-7551
34-5936,253-1254
34-5936,c-RichCaruana
34-5936,61-6236
34-5936,s-ThomasStrang
34-5936,70-7128
34-5936,34-5480
34-5936,172-5934-1
34-5936,a-GennadyLAndrienko
34-5936,a-NataliaVAndrienko
34-5936,230-0769
34-5936,149-7783
34-5936,327-5407
34-5936,n-MarioANascimento
34-5936,11-1051
34-5936,08-1554
34-5936,s-BettinaSpeckmann
34-5936,22-544
34-5936,t-KristianTorp
34-5936,k-MarcJvanKreveld
34-5936,44-3065
34-5936,87-2697-1
34-5936,23-1092
34-5936,19-7127
34-5936,185-1009-1
34-5936,g-AndrewVGoldberg
34-5936,37-1288
34-5936,06-3696
34-5936,63-3747
34-5936,45-8613
34-5936,20-3519
34-5936,93-161
34-5936,155-5071
34-5936,97-365
34-5936,55-1
34-5936,134-2852
34-5936,69-4618
34-5936,h-SteveHodges
34-5936,89-6507
34-5936,205-5874
34-5936,21-4153
34-5936,55-1210
34-5936,75-6434-2
34-5936,g-MichaelGertz
34-5936,57-2958
34-5936,86-6841
34-5936,47-3228
34-5936,157-4194
34-5936,40-5624
34-5936,168-0911
34-5936,205-6423
34-5936,13-9072
34-5936,38-129
34-5936,10-4398
34-5936,33-9972
34-5936,42-2795
34-5936,147-1933
34-5936,94-5208
34-5936,30-5320
34-5936,95-625
34-5936,42-4049
34-5936,47-2414
34-5936,72-4434
34-5936,54-960
34-5936,31-4938
34-5936,55-3609
34-5936,30-5468
34-5936,61-5730
34-5936,71-5822
34-5936,c-DomenicoCotroneo
34-5936,04-1673
34-5936,72-5063
34-5936,03-0
34-5936,37-4462
34-5936,03-6775
34-5936,h-NancyAVanHouse
34-5936,78-3852
34-5936,17-5409
34-5936,95-5940
34-5936,15-1103
34-5936,09-369
34-5936,78-2232
34-5936,49-4689
34-5936,06-2331
34-5936,94-3047
34-5936,93-4858
34-5936,13-6056
34-5936,63-6133
34-5936,s-PhoebeSengers
34-5936,h-TRHansen
34-5936,b-JakobEBardram
34-5936,84-35
34-5936,a-GDAbowd
34-5936,55-6028
34-5936,194-3919
34-5936,33-6188
34-5936,139-7894
34-5936,24-1434
34-5936,96-10579-1
34-5936,92-5352
34-5936,18-9063
34-5936,58-6608
34-5936,24-803-6
34-5936,21-6419
26-11511,34-508
26-11511,s-ShashiShekhar
26-11511,94-5893
a-MHAli,34-508
a-MHAli,s-CyrusShahabi
a-MHAli,i-IhabFIlyas
a-MHAli,94-5893
a-MHAli,a-WGAref
a-MHAli,95-9990
a-MHAli,o-MouradOuzzani
a-MHAli,49-6395
a-MHAli,g-JonathanGoldstein
117-9090,183-5034
g-MichaelGamon,70-11145
g-MichaelGamon,08-4367
g-MichaelGamon,159-6520
k-CAKnoblock,s-CyrusShahabi
k-CAKnoblock,82-6362-1
k-CAKnoblock,w-GerhardWeikum
k-CAKnoblock,f-EdwardAFox
k-CAKnoblock,i-ZacharyGIves
k-CAKnoblock,s-KaiUweSattler
k-CAKnoblock,s-ShashiShekhar
k-CAKnoblock,c-IFCruz
k-CAKnoblock,g-SGhandeharizadeh
k-CAKnoblock,96-3834
k-CAKnoblock,h-AlonYHalevy
s-MarkusSchneider1,s-CyrusShahabi
s-MarkusSchneider1,w-RaymondChiWingWong
s-MarkusSchneider1,j-ChristianSJensen
s-MarkusSchneider1,94-5893
s-MarkusSchneider1,a-WGAref
s-MarkusSchneider1,39-3530-1
s-MarkusSchneider1,b-MichaelHBohlen
s-MarkusSchneider1,89-2619
s-MarkusSchneider1,s-TimosKSellis
k-PeerKroger,s-CyrusShahabi
k-PeerKroger,25-7045-11
k-PeerKroger,g-DimitriosGunopulos
k-PeerKroger,w-RaymondChiWingWong
k-PeerKroger,j-ChristianSJensen
k-PeerKroger,c-PKChrysanthis
k-PeerKroger,r-MatthiasRenz
k-PeerKroger,c-IFCruz
k-PeerKroger,94-5893
k-PeerKroger,a-WGAref
k-PeerKroger,05-8073-1
k-PeerKroger,80-6521
k-PeerKroger,39-3530-1
k-PeerKroger,65-3446
k-PeerKroger,19-4428
k-PeerKroger,66-974
k-PeerKroger,95-9990
k-PeerKroger,z-DemetriosZeinalipourYazti
k-PeerKroger,89-2619
k-PeerKroger,18-2478
k-PeerKroger,t-YannisTheodoridis
k-PeerKroger,k-KarinKailing
w-PeterWidmayer,d-JensPeterDittrich
w-PeterWidmayer,j-ChristianSJensen
w-PeterWidmayer,a-GustavoAlonso
w-PeterWidmayer,c-IFCruz
w-PeterWidmayer,s-TimosKSellis
140-9572,s-CyrusShahabi
140-9572,25-7045-11
140-9572,g-DimitriosGunopulos
140-9572,w-RaymondChiWingWong
140-9572,j-ChristianSJensen
140-9572,c-PKChrysanthis
140-9572,r-MatthiasRenz
140-9572,94-5893
140-9572,a-WGAref
140-9572,05-8073-1
140-9572,80-6521
140-9572,39-3530-1
140-9572,19-4428
140-9572,66-974
140-9572,95-9990
140-9572,z-DemetriosZeinalipourYazti
140-9572,89-2619
140-9572,18-2478
140-9572,t-YannisTheodoridis
t-AnkurTeredesai,a-WGAref
t-AnkurTeredesai,88-995
82-1781,l-HuaLu
59-2063,20-9709
59-2063,157-1134
h-EricHorvitz,g-JohannesGehrke
h-EricHorvitz,70-11145
h-EricHorvitz,k-DonaldKossmann
h-EricHorvitz,18-10886
h-EricHorvitz,163-0545
60-11151,p-PaoloPapotti
60-11151,s-TimosKSellis
70-3898,37-3868
b-AJBBrush,52-6414
01-7983,52-6414
m-BrianMeyers,52-6414
k-HenryAKautz,97-919-1
68-5068-3,s-CyrusShahabi
68-5068-3,80-6521
213-7403,s-CyrusShahabi
213-7403,80-6521
10-4827,s-CyrusShahabi
10-4827,80-6521
10-4827,39-3530-1
10-4827,p-DimitrisPapadias
10-4827,58-1327
10-4827,59-1952
c-RichCaruana,p-JianPei
c-RichCaruana,g-JohannesGehrke
c-RichCaruana,w-KeWang
c-RichCaruana,m-JFMartinez
c-RichCaruana,r-MirekRiedewald
61-6236,70-11145
61-6236,52-6414
61-6236,173-4598
70-7128,s-CyrusShahabi
70-7128,25-7045-11
70-7128,g-DimitriosGunopulos
70-7128,w-RaymondChiWingWong
70-7128,j-ChristianSJensen
70-7128,c-PKChrysanthis
70-7128,r-MatthiasRenz
70-7128,94-5893
70-7128,a-WGAref
70-7128,05-8073-1
70-7128,80-6521
70-7128,39-3530-1
70-7128,19-4428
70-7128,66-974
70-7128,95-9990
70-7128,z-DemetriosZeinalipourYazti
70-7128,89-2619
70-7128,18-2478
70-7128,t-YannisTheodoridis
34-5480,s-CyrusShahabi
34-5480,s-ASdaSilva
34-5480,97-5147
34-5480,m-WagnerMeiraJr
34-5480,117-4298
34-5480,25-7045-11
34-5480,g-DimitriosGunopulos
34-5480,w-RaymondChiWingWong
34-5480,j-ChristianSJensen
34-5480,c-PKChrysanthis
34-5480,r-MatthiasRenz
34-5480,94-5893
34-5480,a-WGAref
34-5480,05-8073-1
34-5480,80-6521
34-5480,39-3530-1
34-5480,m-MirellaMouraMoro
34-5480,19-4428
34-5480,19-2546
34-5480,66-974
34-5480,95-9990
34-5480,z-DemetriosZeinalipourYazti
34-5480,89-2619
34-5480,18-2478
34-5480,t-YannisTheodoridis
34-5480,96-8654
172-5934-1,s-CyrusShahabi
172-5934-1,25-7045-11
172-5934-1,g-DimitriosGunopulos
172-5934-1,w-RaymondChiWingWong
172-5934-1,j-ChristianSJensen
172-5934-1,c-PKChrysanthis
172-5934-1,r-MatthiasRenz
172-5934-1,94-5893
172-5934-1,a-WGAref
172-5934-1,05-8073-1
172-5934-1,80-6521
172-5934-1,39-3530-1
172-5934-1,19-4428
172-5934-1,66-974
172-5934-1,95-9990
172-5934-1,z-DemetriosZeinalipourYazti
172-5934-1,89-2619
172-5934-1,18-2478
172-5934-1,t-YannisTheodoridis
a-GennadyLAndrienko,s-CyrusShahabi
a-GennadyLAndrienko,g-AristidesGionis
a-GennadyLAndrienko,b-FBonchi
a-GennadyLAndrienko,44-2379
a-GennadyLAndrienko,s-MichaelStonebraker
a-GennadyLAndrienko,80-3560
a-GennadyLAndrienko,25-7045-11
a-GennadyLAndrienko,g-DimitriosGunopulos
a-GennadyLAndrienko,l-GuoliangLi
a-GennadyLAndrienko,w-RaymondChiWingWong
a-GennadyLAndrienko,j-ChristianSJensen
a-GennadyLAndrienko,c-PKChrysanthis
